customer_id,recency,frequency,monetary,first_purchase,tenure_days,r_score,f_score,m_score,future_spend,is_churn,retention_score,segment,clv_pred,value_tier,retention_tier,marketing_segment
AC-10450,219,7,2068.246,2014-10-31,974,2,2,3,3459.6,No,0.8128908276557922,Champions,868.535888671875,High Value,Medium Retention,High Value + Medium Retention
AC-10615,99,5,243.888,2015-09-15,655,4,1,1,2293.7980000000002,No,0.8209525942802429,Loyal Customers,454.8357238769531,Low Value,Medium Retention,Low Value + Medium Retention
AC-10660,100,6,657.316,2014-10-15,990,3,2,1,0,Yes,0.7142919301986694,Needs Attention,662.8914794921875,Medium Value,Medium Retention,Medium Value + Medium Retention
AD-10180,62,9,5026.33,2014-11-19,955,4,3,5,1080.55,No,0.941162109375,Champions,970.71343994140625,High Value,High Retention,High Value + High Retention
AF-10870,68,13,1772.5220000000002,2015-12-06,573,4,4,3,280.38599999999997,No,0.9441362619400024,Loyal Customers,676.0350341796875,Medium Value,High Retention,Medium Value + High Retention
AF-10885,233,7,861.5649999999999,2014-05-10,1148,2,2,2,0,Yes,0.503268837928772,At Risk,556.0091552734375,Medium Value,Low Retention,Medium Value + Low Retention
AG-10270,96,14,2582.898,2014-05-13,1145,4,4,4,0,Yes,0.6302437782287598,Needs Attention,469.1286926269531,Low Value,Medium Retention,Low Value + Medium Retention
AG-10300,208,4,361.588,2014-04-26,1162,2,1,1,5.96,No,0.7279810309410095,Needs Attention,634.4332275390625,Medium Value,Medium Retention,Medium Value + Medium Retention
AG-10330,332,2,248.82,2016-08-03,332,1,1,1,412.152,No,0.6700927019119263,Potential Loyalists,520.127685546875,Medium Value,Medium Retention,Medium Value + Medium Retention
AG-10390,212,7,181.185,2014-04-19,1169,2,2,1,19.76,No,0.5961323976516724,Needs Attention,408.6337585449219,Low Value,Low Retention,Low Value + Low Retention
AG-10495,254,17,2242.479,2015-01-04,909,2,5,4,114.376,No,0.6534420251846313,Loyal Customers,641.902587890625,Medium Value,Medium Retention,Medium Value + Medium Retention
AG-10525,663,9,1455.038,2014-08-09,1057,1,3,3,0,Yes,0.4441279172897339,Needs Attention,447.02655029296875,Low Value,Low Retention,Low Value + Low Retention
AG-10675,22,9,3335.3436,2015-05-07,786,5,3,4,153.696,No,0.9441609978675842,Loyal Customers,817.6044921875,High Value,High Retention,High Value + High Retention
AG-10765,600,3,129.732,2014-09-17,1018,1,1,1,40.852000000000004,No,0.8904767632484436,Needs Attention,659.6102294921875,Medium Value,Medium Retention,Medium Value + Medium Retention
AG-10900,61,19,4224.847,2014-07-23,1074,4,5,5,285.95000000000005,No,0.9747233986854553,Champions,621.12841796875,Medium Value,High Retention,Medium Value + High Retention
AH-10030,468,10,1725.996,2014-04-22,1166,1,3,3,18.704,No,0.8005654811859131,Loyal Customers,546.17498779296875,Medium Value,Medium Retention,Medium Value + Medium Retention
AH-10075,43,11,1868.0259999999998,2014-11-16,958,4,3,3,1382.311,No,0.914651095867157,Champions,925.14947509765625,High Value,Medium Retention,High Value + Medium Retention
AH-10120,84,11,1359.984,2014-07-18,1079,4,3,3,375.53000000000003,No,0.9212040305137634,Potential Loyalists,529.68389892578125,Medium Value,Medium Retention,Medium Value + Medium Retention
AH-10195,195,5,1543.006,2015-03-05,849,3,1,3,44.446000000000005,No,0.744141161441803,Needs Attention,744.50994873046875,High Value,Medium Retention,High Value + Medium Retention
AH-10210,115,9,1679.264,2014-11-29,945,3,3,3,3126.08,No,0.8249894380569458,Champions,851.87774658203125,High Value,Medium Retention,High Value + Medium Retention
AH-10465,48,8,2495.3916,2015-01-03,910,4,2,4,0,Yes,0.5474594831466675,Needs Attention,904.97662353515625,High Value,Low Retention,High Value + Low Retention
AH-10585,289,3,483.28,2014-10-26,979,2,1,1,255.22400000000002,No,0.7893168926239014,Potential Loyalists,811.841796875,High Value,Medium Retention,High Value + Medium Retention
AH-10690,228,23,7888.294,2014-04-02,1186,2,5,5,0,Yes,0.19874489307403564,Loyal Customers,455.497314453125,Low Value,Low Retention,Low Value + Low Retention
AI-10855,57,15,3800.832,2014-04-28,1160,4,5,5,574.954,No,0.8467947840690613,Champions,476.570556640625,Low Value,Medium Retention,Low Value + Medium Retention
AJ-10780,48,14,4559.568,2014-01-10,1268,4,4,5,307.776,No,0.991136908531189,Loyal Customers,1515.6494140625,High Value,High Retention,High Value + High Retention
AJ-10795,187,17,3206.366,2014-05-14,1144,3,5,4,1295.0249999999999,No,0.8791220188140869,Loyal Customers,469.3377685546875,Low Value,Medium Retention,Low Value + Medium Retention
AJ-10945,225,8,1191.166,2014-03-03,1216,2,2,2,648.0740000000001,No,0.8362168669700623,Potential Loyalists,385.64971923828125,Low Value,Medium Retention,Low Value + Medium Retention
AJ-10960,914,4,618.608,2014-09-14,1021,1,1,1,10.64,No,0.9764418601989746,Needs Attention,679.0416259765625,Medium Value,High Retention,Medium Value + High Retention
AM-10360,34,7,635.122,2014-10-06,999,5,2,1,178.89,No,0.8335671424865723,Potential Loyalists,736.16314697265625,High Value,Medium Retention,High Value + Medium Retention
AM-10705,6,15,4712.042,2014-10-31,974,5,5,5,951.98,No,0.9293263554573059,Loyal Customers,709.58819580078125,Medium Value,High Retention,Medium Value + High Retention
AO-10810,319,1,161.28,2016-08-16,319,1,1,1,0,Yes,0.23892755806446075,At Risk,520.127685546875,Medium Value,Low Retention,Medium Value + Low Retention
AP-10720,207,17,1500.172,2014-03-03,1216,2,5,3,138.382,No,0.8837449550628662,Loyal Customers,266.4497375488281,Low Value,Medium Retention,Low Value + Medium Retention
AP-10915,65,28,3070.536,2014-08-23,1043,4,5,4,253.01999999999998,No,0.9050355553627014,Loyal Customers,570.59051513671875,Medium Value,Medium Retention,Medium Value + Medium Retention
AR-10345,660,3,955.614,2014-12-30,914,1,1,2,100.08,No,0.3723931610584259,Needs Attention,712.7366943359375,Medium Value,Low Retention,Medium Value + Low Retention
AR-10405,12,6,747.704,2014-10-03,1002,5,2,2,1488.424,No,0.9487790465354919,Potential Loyalists,544.07464599609375,Medium Value,High Retention,Medium Value + High Retention
AR-10510,187,6,254.064,2014-05-02,1156,3,2,1,10.8,No,0.9033166170120239,Potential Loyalists,358.4911193847656,Low Value,Medium Retention,Low Value + Medium Retention
AR-10540,166,8,6590.568,2014-11-25,949,3,2,5,17.88,No,0.6744240522384644,Champions,917.48651123046875,High Value,Medium Retention,High Value + Medium Retention
AR-10570,352,2,88.15,2016-07-14,352,1,1,1,0,Yes,0.3307268023490906,At Risk,520.127685546875,Medium Value,Low Retention,Medium Value + Low Retention
AR-10825,202,7,2147.9880000000003,2014-06-30,1097,2,2,3,2375.348,No,0.943016529083252,Loyal Customers,792.3802490234375,High Value,High Retention,High Value + High Retention
AS-10045,180,6,1315.06,2014-07-27,1070,3,2,2,1735.632,No,0.8983197808265686,Loyal Customers,534.29815673828125,Medium Value,Medium Retention,Medium Value + Medium Retention
AS-10090,91,19,2536.55,2014-09-22,1013,4,5,4,718.76,No,0.7983347773551941,Champions,578.44842529296875,Medium Value,Medium Retention,Medium Value + Medium Retention
AS-10135,230,1,4.18,2016-11-13,230,2,1,1,54.64,No,0.49946287274360657,Needs Attention,603.7857666015625,Medium Value,Low Retention,Medium Value + Low Retention
AS-10225,211,5,2409.2000000000003,2014-10-18,987,2,1,4,1851.584,No,0.8921701908111572,Loyal Customers,868.535888671875,High Value,Medium Retention,High Value + Medium Retention
AS-10240,10,13,584.6080000000001,2014-03-15,1204,5,4,1,0,Yes,0.9705649018287659,Needs Attention,270.86602783203125,Low Value,High Retention,Low Value + High Retention
AS-10285,232,7,3097.924,2016-05-21,406,2,2,4,116.312,No,0.8307967782020569,Loyal Customers,855.769775390625,High Value,Medium Retention,High Value + Medium Retention
AS-10630,62,9,460.952,2014-08-01,1065,4,3,1,372.44599999999997,No,0.8495205044746399,Potential Loyalists,525.4415283203125,Medium Value,Medium Retention,Medium Value + Medium Retention
AT-10435,90,6,75.32600000000001,2014-11-24,950,4,2,1,1096.488,No,0.9632667899131775,Loyal Customers,630.6783447265625,Medium Value,High Retention,Medium Value + High Retention
AT-10735,43,11,3414.044,2014-08-30,1036,4,3,5,417.82,No,0.9742178320884705,Champions,822.51275634765625,High Value,High Retention,High Value + High Retention
AW-10840,580,3,43.144000000000005,2015-04-13,810,1,1,1,606.232,No,0.9050942659378052,Potential Loyalists,507.5588073730469,Medium Value,Medium Retention,Medium Value + Medium Retention
AW-10930,225,13,2141.608,2014-07-14,1083,2,4,3,711.36,No,0.9117658734321594,Loyal Customers,731.0859375,High Value,Medium Retention,High Value + Medium Retention
AY-10555,195,6,274.98199999999997,2014-04-06,1182,3,2,1,222.03199999999998,No,0.8065047264099121,Potential Loyalists,485.4830017089844,Low Value,Medium Retention,Low Value + Medium Retention
AZ-10750,512,11,1500.482,2014-03-17,1202,1,4,3,121.536,No,0.9389027953147888,Potential Loyalists,473.4088134765625,Low Value,High Retention,Low Value + High Retention
BB-10990,30,6,729.54,2014-07-27,1070,5,2,2,14.8,No,0.9239642024040222,Needs Attention,596.97509765625,Medium Value,High Retention,Medium Value + High Retention
BB-11545,187,12,2179.468,2015-06-05,757,3,4,4,4586.26,No,0.711890697479248,Champions,676.0350341796875,Medium Value,Medium Retention,Medium Value + Medium Retention
BC-11125,20,18,2933.676,2014-07-06,1091,5,5,4,0,Yes,0.7332944273948669,Loyal Customers,575.56451416015625,Medium Value,Medium Retention,Medium Value + Medium Retention
BD-11320,21,16,5290.233,2015-05-31,762,5,5,5,428.28799999999995,No,0.9589740037918091,Champions,689.4918212890625,Medium Value,High Retention,Medium Value + High Retention
BD-11500,156,8,4041.2639999999997,2014-02-01,1246,3,2,5,369.97900000000004,No,0.9438220262527466,Loyal Customers,550.88848876953125,Medium Value,High Retention,Medium Value + High Retention
BD-11560,96,4,320.54,2015-05-30,763,4,1,1,0,Yes,0.5205272436141968,At Risk,680.6351318359375,Medium Value,Low Retention,Medium Value + Low Retention
BD-11605,183,18,3034.647,2014-01-13,1265,3,5,4,253.82399999999998,No,0.9020370244979858,Loyal Customers,622.29327392578125,Medium Value,Medium Retention,Medium Value + Medium Retention
BD-11620,182,6,956.04,2014-06-30,1097,3,2,2,582.0699999999999,No,0.9159930944442749,Potential Loyalists,607.11932373046875,Medium Value,Medium Retention,Medium Value + Medium Retention
BD-11635,574,4,511.646,2014-10-05,1000,1,1,1,71,No,0.8666684627532959,Potential Loyalists,621.2391357421875,Medium Value,Medium Retention,Medium Value + Medium Retention
BD-11725,32,7,1341.55,2015-07-03,729,5,2,2,184.95,No,0.7500544190406799,Potential Loyalists,602.66143798828125,Medium Value,Medium Retention,Medium Value + Medium Retention
BD-11770,145,10,658.466,2016-03-10,478,3,3,1,0,Yes,0.9767788648605347,Needs Attention,520.5330810546875,Medium Value,High Retention,Medium Value + High Retention
BE-11335,100,3,314.75600000000003,2016-01-15,533,4,1,1,3889.92,No,0.9177210330963135,Potential Loyalists,680.6351318359375,Medium Value,Medium Retention,Medium Value + Medium Retention
BE-11410,161,4,2009.798,2016-02-07,510,3,1,3,251.64,No,0.9604232907295227,Potential Loyalists,836.13702392578125,High Value,High Retention,High Value + High Retention
BE-11455,72,13,1727.652,2015-08-02,699,4,4,3,0,Yes,0.3793487846851349,Needs Attention,676.0350341796875,Medium Value,Low Retention,Medium Value + Low Retention
BF-10975,223,12,579.134,2014-07-14,1083,2,4,1,20.664,No,0.9311060309410095,Potential Loyalists,575.5841064453125,Medium Value,High Retention,Medium Value + High Retention
BF-11005,338,5,594.144,2014-09-25,1010,1,1,1,739.736,No,0.5209866166114807,Potential Loyalists,629.3758544921875,Medium Value,Low Retention,Medium Value + Low Retention
BF-11020,91,13,2149.124,2014-02-15,1232,4,4,3,739.382,No,0.7850307822227478,Loyal Customers,482.15234375,Low Value,Medium Retention,Low Value + Medium Retention
BF-11080,946,1,14.67,2014-11-28,946,1,1,1,258.28,No,0.6731410026550293,Potential Loyalists,646.8284912109375,Medium Value,Medium Retention,Medium Value + Medium Retention
BF-11170,117,22,4064.57,2014-04-13,1175,3,5,5,1843.402,No,0.7615510821342468,Champions,408.4820251464844,Low Value,Medium Retention,Low Value + Medium Retention
BF-11215,110,7,1529.546,2014-11-09,965,3,2,3,55.616,No,0.940758466720581,Needs Attention,825.9771728515625,High Value,High Retention,High Value + High Retention
BF-11275,1197,2,388.70399999999995,2014-03-22,1197,1,1,1,403.28599999999994,No,0.5368074774742126,Needs Attention,404.09503173828125,Low Value,Low Retention,Low Value + Low Retention
BG-11035,226,9,2100.712,2014-11-05,969,2,3,3,698.236,No,0.8066677451133728,Loyal Customers,902.0203857421875,High Value,Medium Retention,High Value + Medium Retention
BG-11695,186,6,1811.554,2014-05-11,1147,3,2,3,62.617999999999995,No,0.9640597701072693,Loyal Customers,640.98480224609375,Medium Value,High Retention,Medium Value + High Retention
BG-11740,75,6,519.9879999999999,2014-03-23,1196,4,2,1,486.368,No,0.9545185565948486,Potential Loyalists,485.4830017089844,Low Value,High Retention,Low Value + High Retention
BH-11710,44,22,5882.711,2014-06-09,1118,4,5,5,372.64,No,0.9761682152748108,Champions,478.6263427734375,Low Value,High Retention,Low Value + High Retention
BK-11260,232,14,590.818,2014-08-03,1063,2,4,1,68.32,No,0.8848755955696106,Potential Loyalists,465.02227783203125,Low Value,Medium Retention,Low Value + Medium Retention
BM-11140,125,16,11789.630000000001,2014-09-08,1027,3,5,5,0,Yes,0.68335723876953125,Potential Loyalists,506.607421875,Medium Value,Medium Retention,Medium Value + Medium Retention
BM-11575,44,9,792.6519999999999,2015-09-15,655,4,3,2,15.51,No,0.9334015846252441,Potential Loyalists,530.7723388671875,Medium Value,High Retention,Medium Value + High Retention
BM-11650,49,22,4087.911,2014-07-09,1088,4,5,5,3206.274,No,0.9866979718208313,Champions,583.00640869140625,Medium Value,High Retention,Medium Value + High Retention
BM-11785,36,14,1338.842,2014-06-06,1121,5,4,2,0,Yes,0.2571920156478882,Potential Loyalists,334.4607238769531,Low Value,Low Retention,Low Value + Low Retention
BN-11470,109,5,254.616,2014-09-12,1023,3,1,1,10.68,No,0.6613070368766785,Potential Loyalists,459.7440490722656,Low Value,Medium Retention,Low Value + Medium Retention
BN-11515,408,14,1331.934,2014-03-17,1202,1,4,2,127.41000000000001,No,0.8044085502624512,Potential Loyalists,130.13507080078125,Low Value,Medium Retention,Low Value + Medium Retention
BO-11350,59,11,2632.328,2016-01-03,545,4,4,4,50.4,No,0.9764219522476196,Potential Loyalists,676.0350341796875,Medium Value,High Retention,Medium Value + High Retention
BO-11425,660,1,6.08,2015-09-10,660,1,1,1,124.75,No,0.7746202349662781,Needs Attention,470.9859619140625,Low Value,Medium Retention,Low Value + Medium Retention
BP-11050,105,6,940.66,2014-10-12,993,3,2,2,42.76,No,0.6374189853668213,Potential Loyalists,683.27496337890625,Medium Value,Medium Retention,Medium Value + Medium Retention
BP-11095,77,16,1228.262,2014-06-07,1120,4,5,2,1213.7820000000002,No,0.8013579845428467,Champions,193.10040283203125,Low Value,Medium Retention,Low Value + Medium Retention
BP-11155,93,9,1629.901,2015-06-04,758,4,3,3,67.96,No,0.9121314287185669,Potential Loyalists,676.0350341796875,Medium Value,Medium Retention,Medium Value + Medium Retention
BP-11185,190,10,1964.457,2015-03-24,830,3,3,3,1711.404,No,0.8287729024887085,Champions,770.4105224609375,High Value,Medium Retention,High Value + Medium Retention
BP-11230,198,5,1110.51,2014-04-20,1168,3,1,2,70.98,No,0.9101484417915344,Potential Loyalists,433.0452880859375,Low Value,Medium Retention,Low Value + Medium Retention
BP-11290,173,10,1806.457,2014-10-03,1002,3,3,3,668.6999999999999,No,0.8452584147453308,Loyal Customers,757.09893798828125,High Value,Medium Retention,High Value + Medium Retention
BS-11365,376,9,10501.653,2014-05-04,1154,1,3,5,0,Yes,0.29660454392433167,Potential Loyalists,550.489501953125,Medium Value,Low Retention,Medium Value + Low Retention
BS-11380,111,3,845.9159999999999,2014-11-29,945,3,1,2,3041.918,No,0.6459296345710754,Loyal Customers,876.861328125,High Value,Medium Retention,High Value + Medium Retention
BS-11590,287,9,1752.9679999999998,2014-01-14,1264,2,3,3,701.96,No,0.778160035610199,Loyal Customers,1059.4234619140625,High Value,Medium Retention,High Value + Medium Retention
BS-11665,400,11,3288.11,2014-06-23,1104,1,4,4,0,Yes,0.7300320863723755,Needs Attention,614.4725341796875,Medium Value,Medium Retention,Medium Value + Medium Retention
BS-11755,82,10,2287.538,2014-05-18,1140,4,3,4,274.844,No,0.8111149668693542,Loyal Customers,579.6904296875,Medium Value,Medium Retention,Medium Value + Medium Retention
BS-11800,83,8,949.43,2015-09-26,644,4,2,2,0,Yes,0.8570756316184998,At Risk,602.21087646484375,Medium Value,Medium Retention,Medium Value + Medium Retention
BT-11305,154,9,2567.656,2014-04-25,1163,3,3,4,0,Yes,0.6336014270782471,Needs Attention,579.6904296875,Medium Value,Medium Retention,Medium Value + Medium Retention
BT-11395,120,10,2186.6130000000003,2014-10-28,977,3,3,4,0,Yes,0.48009392619132996,Potential Loyalists,757.09893798828125,High Value,Low Retention,High Value + Low Retention
BT-11440,378,7,603.876,2014-06-04,1123,1,2,1,0,Yes,0.26450860500335693,At Risk,451.9673156738281,Low Value,Low Retention,Low Value + Low Retention
BT-11485,477,3,415.19599999999997,2015-12-27,552,1,1,1,0,Yes,0.8296298980712891,At Risk,647.1195068359375,Medium Value,Medium Retention,Medium Value + Medium Retention
BT-11530,125,9,2524.512,2014-05-21,1137,3,3,4,159.98,No,0.8098646998405457,Potential Loyalists,579.6904296875,Medium Value,Medium Retention,Medium Value + Medium Retention
BT-11680,436,17,3095.3920000000003,2014-11-28,946,1,5,4,101.36,No,0.55239105224609375,Loyal Customers,708.00927734375,Medium Value,Low Retention,Medium Value + Low Retention
BV-11245,152,14,1523.273,2015-03-26,828,3,4,3,0,Yes,0.8964335322380066,Needs Attention,572.6536865234375,Medium Value,Medium Retention,Medium Value + Medium Retention
BW-11065,30,3,385.516,2014-05-25,1133,5,1,1,0,Yes,0.67092365026474,Needs Attention,657.56231689453125,Medium Value,Medium Retention,Medium Value + Medium Retention
BW-11110,35,15,4031.06,2015-03-20,834,5,5,5,719.298,No,0.9018725752830505,Loyal Customers,740.5621337890625,High Value,Medium Retention,High Value + Medium Retention
BW-11200,21,10,1738.406,2014-08-12,1054,5,3,3,0,Yes,0.20225615799427032,Potential Loyalists,754.21502685546875,High Value,Low Retention,High Value + Low Retention
CA-11965,156,9,3765.2748,2014-01-26,1252,3,3,5,24.448,No,0.9487692713737488,Loyal Customers,550.449951171875,Medium Value,High Retention,Medium Value + High Retention
CA-12055,219,10,1679.7240000000002,2015-09-05,665,2,3,3,0,Yes,0.8109570741653442,Needs Attention,726.1776123046875,High Value,Medium Retention,High Value + Medium Retention
CA-12265,510,8,1121.63,2014-03-25,1194,1,2,2,1526.6572,No,0.8633109927177429,Loyal Customers,511.49652099609375,Medium Value,Medium Retention,Medium Value + Medium Retention
CA-12310,545,7,831.87,2014-07-19,1078,1,2,2,590.084,No,0.8183667659759521,Potential Loyalists,602.154541015625,Medium Value,Medium Retention,Medium Value + Medium Retention
CA-12775,50,16,2543.306,2014-06-28,1099,4,5,4,498.26,No,0.9257060885429382,Potential Loyalists,474.311767578125,Low Value,High Retention,Low Value + High Retention
CB-12025,146,19,5279.671,2014-03-21,1198,3,5,5,796.468,No,0.8959926962852478,Champions,422.337646484375,Low Value,Medium Retention,Low Value + Medium Retention
CB-12415,127,10,1740.8120000000001,2015-11-05,604,3,3,3,208.38799999999998,No,0.9809767603874207,Loyal Customers,676.0350341796875,Medium Value,High Retention,Medium Value + High Retention
CB-12535,15,19,4246.4555,2015-01-02,911,5,5,5,0,Yes,0.4854614734649658,Loyal Customers,654.8111572265625,Medium Value,Low Retention,Medium Value + Low Retention
CC-12100,275,13,1770.945,2014-12-16,928,2,4,3,0,Yes,0.5902283787727356,Potential Loyalists,820.5531005859375,High Value,Low Retention,High Value + Low Retention
CC-12145,309,10,2439.906,2014-07-20,1077,1,3,4,31.744,No,0.7044318318367004,Potential Loyalists,647.4276123046875,Medium Value,Medium Retention,Medium Value + Medium Retention
CC-12220,5,16,3120.998,2014-09-09,1026,5,5,4,792.42,No,0.8109840154647827,Champions,514.80609130859375,Medium Value,Medium Retention,Medium Value + Medium Retention
CC-12370,320,8,11901.184000000001,2016-05-23,404,1,2,5,227.888,No,0.7402935028076172,Loyal Customers,708.128173828125,Medium Value,Medium Retention,Medium Value + Medium Retention
CC-12430,42,13,2157.9500000000003,2015-09-06,664,5,4,3,712.1,No,0.23735226690769196,Champions,749.3067626953125,High Value,Low Retention,High Value + Low Retention
CC-12475,236,6,858.836,2014-05-16,1142,2,2,2,800.6020000000001,No,0.8336538076400757,Loyal Customers,556.0091552734375,Medium Value,Medium Retention,Medium Value + Medium Retention
CC-12550,16,1,47.976,2017-06-15,16,5,1,1,65.856,No,0.7715566754341125,Needs Attention,497.8587951660156,Low Value,Medium Retention,Low Value + Medium Retention
CC-12610,264,10,2275.223,2014-08-27,1039,2,3,4,265.408,No,0.8541179299354553,Loyal Customers,731.0859375,High Value,Medium Retention,High Value + Medium Retention
CC-12670,13,11,2010.2615,2014-12-23,921,5,4,3,259.44,No,0.8898174166679382,Loyal Customers,714.6259765625,Medium Value,Medium Retention,Medium Value + Medium Retention
CC-12685,617,12,2854.1150000000002,2014-03-22,1197,1,4,4,0,Yes,0.4334363639354706,Needs Attention,507.05535888671875,Medium Value,Low Retention,Medium Value + Low Retention
CD-11920,36,5,474.3,2014-03-24,1195,5,1,1,1559.6680000000001,No,0.9296421408653259,Potential Loyalists,558.75482177734375,Medium Value,High Retention,Medium Value + High Retention
CD-11980,105,5,320.806,2016-11-24,219,3,1,1,318.96,No,0.6934106349945068,Needs Attention,581.827392578125,Medium Value,Medium Retention,Medium Value + Medium Retention
CD-12790,217,15,1860.732,2014-02-02,1245,2,5,3,0,Yes,0.8655964136123657,Needs Attention,421.7331237792969,Low Value,Medium Retention,Low Value + Medium Retention
CG-12040,104,8,886.2280000000001,2015-06-01,761,3,2,2,18.24,No,0.5969738364219666,Potential Loyalists,602.21087646484375,Medium Value,Low Retention,Medium Value + Low Retention
CG-12520,156,5,1148.78,2015-10-15,625,3,1,2,0,Yes,0.5743275284767151,Needs Attention,529.3897705078125,Medium Value,Low Retention,Medium Value + Low Retention
CH-12070,509,4,1537.236,2015-06-25,737,1,1,3,0,Yes,0.5354644060134888,Needs Attention,827.3934326171875,High Value,Low Retention,High Value + Low Retention
CJ-11875,183,1,16.52,2016-12-30,183,3,1,1,0,Yes,0.332854300737381,At Risk,553.6431884765625,Medium Value,Low Retention,Medium Value + Low Retention
CJ-12010,7,20,11164.974,2016-03-10,478,5,5,5,0,Yes,0.6562919020652771,Loyal Customers,445.91461181640625,Low Value,Medium Retention,Low Value + Medium Retention
CK-12205,50,26,1663.8329999999999,2014-03-11,1208,4,5,3,1491.022,No,0.8059197664260864,Champions,376.773681640625,Low Value,Medium Retention,Low Value + Medium Retention
CK-12325,134,11,2937.741,2014-03-14,1205,3,4,4,7.58,No,0.9204479455947876,Potential Loyalists,482.15234375,Low Value,Medium Retention,Low Value + Medium Retention
CK-12595,128,21,1549.762,2014-12-26,918,3,5,3,822.988,No,0.866294801235199,Loyal Customers,504.56512451171875,Medium Value,Medium Retention,Medium Value + Medium Retention
CK-12760,95,12,863.014,2014-02-07,1240,4,4,2,719.095,No,0.8505972623825073,Loyal Customers,347.0339660644531,Low Value,Medium Retention,Low Value + Medium Retention
CL-11890,21,3,180.324,2014-07-26,1071,5,1,1,1081.69,No,0.9664992094039917,Needs Attention,631.8233642578125,Medium Value,High Retention,Medium Value + High Retention
CL-12565,102,28,10880.546,2014-03-04,1215,3,5,5,0,Yes,0.19039320945739746,Loyal Customers,307.8164367675781,Low Value,Low Retention,Low Value + Low Retention
CL-12700,78,7,2335.586,2016-04-24,433,4,2,4,18,No,0.9824571013450623,Potential Loyalists,737.32940673828125,High Value,High Retention,High Value + High Retention
CM-11815,34,7,679.424,2014-11-14,960,5,2,2,994.464,No,0.8399553298950195,Potential Loyalists,767.909423828125,High Value,Medium Retention,High Value + Medium Retention
CM-11935,526,4,565.392,2015-09-24,646,1,1,1,0,Yes,0.5650618672370911,At Risk,759.0863037109375,High Value,Low Retention,High Value + Low Retention
CM-12115,92,4,800.0400000000001,2015-03-29,825,4,1,2,861.57,No,0.9737623333930969,Potential Loyalists,711.97821044921875,Medium Value,High Retention,Medium Value + High Retention
CM-12160,196,2,2101.68,2016-10-21,253,3,1,3,431.634,No,0.8134225010871887,Loyal Customers,836.13702392578125,High Value,Medium Retention,High Value + Medium Retention
CM-12190,600,3,533.152,2015-09-18,652,1,1,1,941.992,No,0.9257790446281433,Loyal Customers,705.5380859375,Medium Value,High Retention,Medium Value + High Retention
CM-12235,203,8,2305.712,2016-05-01,426,2,2,4,0,Yes,0.7653743624687195,Needs Attention,787.4720458984375,High Value,Medium Retention,High Value + Medium Retention
CM-12385,179,7,8713.652,2015-03-16,838,3,2,5,240.368,No,0.8112410306930542,Loyal Customers,836.01934814453125,High Value,Medium Retention,High Value + Medium Retention
CM-12445,254,9,287.99,2014-06-09,1118,2,3,1,0,Yes,0.7909597158432007,At Risk,474.331298828125,Low Value,Medium Retention,Low Value + Medium Retention
CM-12655,230,8,4112.7076,2015-03-19,835,2,2,5,2226.8500000000004,No,0.7911391258239746,Loyal Customers,1000.6832275390625,High Value,Medium Retention,High Value + Medium Retention
