customer_id,recency,frequency,monetary,first_purchase,tenure_days,r_score,f_score,m_score,future_spend,is_churn,clv_pred,churn_prob,retention_score,segment,value_tier,retention_tier,marketing_segment,top_category,category_segment
AC-10450,219,7,2068.246,2014-10-31,974,2,2,3,3459.6,No,999.2623291015625,0.18710917234420776,0.8128908276557922,Champions,High Value,Medium Retention,High Value + Medium Retention,Office Supplies,High Value + Medium Retention + Office Supplies
AC-10615,99,5,243.888,2015-09-15,655,4,1,1,2293.7980000000002,No,799.5238037109375,0.17904740571975708,0.8209525942802429,Loyal Customers,Medium Value,Medium Retention,Medium Value + Medium Retention,Furniture,Medium Value + Medium Retention + Furniture
AC-10660,100,6,657.316,2014-10-15,990,3,2,1,0,Yes,799.5238037109375,0.28570806980133057,0.7142919301986694,Needs Attention,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
AD-10180,62,9,5026.33,2014-11-19,955,4,3,5,1080.55,No,931.62408447265625,0.058837890625,0.941162109375,Champions,High Value,High Retention,High Value + High Retention,Technology,High Value + High Retention + Technology
AF-10870,68,13,1772.5220000000002,2015-12-06,573,4,4,3,280.38599999999997,No,808.38677978515625,0.05586373805999756,0.9441362619400024,Loyal Customers,Medium Value,High Retention,Medium Value + High Retention,Office Supplies,Medium Value + High Retention + Office Supplies
AF-10885,233,7,861.5649999999999,2014-05-10,1148,2,2,2,0,Yes,726.363525390625,0.496731162071228,0.503268837928772,At Risk,Medium Value,Low Retention,Medium Value + Low Retention,Furniture,Medium Value + Low Retention + Furniture
AG-10270,96,14,2582.898,2014-05-13,1145,4,4,4,0,Yes,764.809814453125,0.36975622177124023,0.6302437782287598,Needs Attention,Medium Value,Medium Retention,Medium Value + Medium Retention,Furniture,Medium Value + Medium Retention + Furniture
AG-10300,208,4,361.588,2014-04-26,1162,2,1,1,5.96,No,685.7318115234375,0.2720189690589905,0.7279810309410095,Needs Attention,Medium Value,Medium Retention,Medium Value + Medium Retention,Furniture,Medium Value + Medium Retention + Furniture
AG-10330,332,2,248.82,2016-08-03,332,1,1,1,412.152,No,709.7681884765625,0.32990729808807373,0.6700927019119263,Potential Loyalists,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
AG-10390,212,7,181.185,2014-04-19,1169,2,2,1,19.76,No,454.7311706542969,0.40386760234832764,0.5961323976516724,Needs Attention,Low Value,Low Retention,Low Value + Low Retention,Office Supplies,Low Value + Low Retention + Office Supplies
AG-10495,254,17,2242.479,2015-01-04,909,2,5,4,114.376,No,835.5411376953125,0.34655797481536865,0.6534420251846313,Loyal Customers,Medium Value,Medium Retention,Medium Value + Medium Retention,Office Supplies,Medium Value + Medium Retention + Office Supplies
AG-10525,663,9,1455.038,2014-08-09,1057,1,3,3,0,Yes,897.2547607421875,0.5558720827102661,0.4441279172897339,Needs Attention,Medium Value,Low Retention,Medium Value + Low Retention,Technology,Medium Value + Low Retention + Technology
AG-10675,22,9,3335.3436,2015-05-07,786,5,3,4,153.696,No,839.16717529296875,0.05583900213241577,0.9441609978675842,Loyal Customers,Medium Value,High Retention,Medium Value + High Retention,Furniture,Medium Value + High Retention + Furniture
AG-10765,600,3,129.732,2014-09-17,1018,1,1,1,40.852000000000004,No,938.76708984375,0.1095232367515564,0.8904767632484436,Needs Attention,High Value,Medium Retention,High Value + Medium Retention,Office Supplies,High Value + Medium Retention + Office Supplies
AG-10900,61,19,4224.847,2014-07-23,1074,4,5,5,285.95000000000005,No,728.33978271484375,0.025276601314544678,0.9747233986854553,Champions,Medium Value,High Retention,Medium Value + High Retention,Furniture,Medium Value + High Retention + Furniture
AH-10030,468,10,1725.996,2014-04-22,1166,1,3,3,18.704,No,901.6275634765625,0.19943451881408691,0.8005654811859131,Loyal Customers,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
AH-10075,43,11,1868.0259999999998,2014-11-16,958,4,3,3,1382.311,No,972.10797119140625,0.08534890413284302,0.914651095867157,Champions,High Value,Medium Retention,High Value + Medium Retention,Furniture,High Value + Medium Retention + Furniture
AH-10120,84,11,1359.984,2014-07-18,1079,4,3,3,375.53000000000003,No,992.4547119140625,0.07879596948623657,0.9212040305137634,Potential Loyalists,High Value,Medium Retention,High Value + Medium Retention,Office Supplies,High Value + Medium Retention + Office Supplies
AH-10195,195,5,1543.006,2015-03-05,849,3,1,3,44.446000000000005,No,964.6304931640625,0.255858838558197,0.744141161441803,Needs Attention,High Value,Medium Retention,High Value + Medium Retention,Office Supplies,High Value + Medium Retention + Office Supplies
AH-10210,115,9,1679.264,2014-11-29,945,3,3,3,3126.08,No,1066.6495361328125,0.1750105619430542,0.8249894380569458,Champions,High Value,Medium Retention,High Value + Medium Retention,Office Supplies,High Value + Medium Retention + Office Supplies
AH-10465,48,8,2495.3916,2015-01-03,910,4,2,4,0,Yes,931.62408447265625,0.4525405168533325,0.5474594831466675,Needs Attention,High Value,Low Retention,High Value + Low Retention,Furniture,High Value + Low Retention + Furniture
AH-10585,289,3,483.28,2014-10-26,979,2,1,1,255.22400000000002,No,783.3665771484375,0.21068310737609863,0.7893168926239014,Potential Loyalists,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
AH-10690,228,23,7888.294,2014-04-02,1186,2,5,5,0,Yes,580.1329345703125,0.8012551069259644,0.19874489307403564,Loyal Customers,Low Value,Low Retention,Low Value + Low Retention,Furniture,Low Value + Low Retention + Furniture
AI-10855,57,15,3800.832,2014-04-28,1160,4,5,5,574.954,No,670.26812744140625,0.15320521593093872,0.8467947840690613,Champions,Low Value,Medium Retention,Low Value + Medium Retention,Technology,Low Value + Medium Retention + Technology
AJ-10780,48,14,4559.568,2014-01-10,1268,4,4,5,307.776,No,749.1107177734375,0.008863091468811035,0.991136908531189,Loyal Customers,Medium Value,High Retention,Medium Value + High Retention,Office Supplies,Medium Value + High Retention + Office Supplies
AJ-10795,187,17,3206.366,2014-05-14,1144,3,5,4,1295.0249999999999,No,697.4224853515625,0.12087798118591309,0.8791220188140869,Loyal Customers,Medium Value,Medium Retention,Medium Value + Medium Retention,Furniture,Medium Value + Medium Retention + Furniture
AJ-10945,225,8,1191.166,2014-03-03,1216,2,2,2,648.0740000000001,No,812.49627685546875,0.16378313302993774,0.8362168669700623,Potential Loyalists,Medium Value,Medium Retention,Medium Value + Medium Retention,Office Supplies,Medium Value + Medium Retention + Office Supplies
AJ-10960,914,4,618.608,2014-09-14,1021,1,1,1,10.64,No,755.553955078125,0.02355813980102539,0.9764418601989746,Needs Attention,Medium Value,High Retention,Medium Value + High Retention,Office Supplies,Medium Value + High Retention + Office Supplies
AM-10360,34,7,635.122,2014-10-06,999,5,2,1,178.89,No,612.5252685546875,0.16643285751342773,0.8335671424865723,Potential Loyalists,Low Value,Medium Retention,Low Value + Medium Retention,Office Supplies,Low Value + Medium Retention + Office Supplies
AM-10705,6,15,4712.042,2014-10-31,974,5,5,5,951.98,No,675.44598388671875,0.07067364454269409,0.9293263554573059,Loyal Customers,Low Value,High Retention,Low Value + High Retention,Furniture,Low Value + High Retention + Furniture
AO-10810,319,1,161.28,2016-08-16,319,1,1,1,0,Yes,529.99755859375,0.7610724419355392,0.23892755806446075,At Risk,Low Value,Low Retention,Low Value + Low Retention,Furniture,Low Value + Low Retention + Furniture
AP-10720,207,17,1500.172,2014-03-03,1216,2,5,3,138.382,No,648.77508544921875,0.11625504493713379,0.8837449550628662,Loyal Customers,Low Value,Medium Retention,Low Value + Medium Retention,Office Supplies,Low Value + Medium Retention + Office Supplies
AP-10915,65,28,3070.536,2014-08-23,1043,4,5,4,253.01999999999998,No,728.33978271484375,0.09496444463729858,0.9050355553627014,Loyal Customers,Medium Value,Medium Retention,Medium Value + Medium Retention,Furniture,Medium Value + Medium Retention + Furniture
AR-10345,660,3,955.614,2014-12-30,914,1,1,2,100.08,No,988.04791259765625,0.6276068389415741,0.3723931610584259,Needs Attention,High Value,Low Retention,High Value + Low Retention,Furniture,High Value + Low Retention + Furniture
AR-10405,12,6,747.704,2014-10-03,1002,5,2,2,1488.424,No,612.5252685546875,0.05122095346450806,0.9487790465354919,Potential Loyalists,Low Value,High Retention,Low Value + High Retention,Furniture,Low Value + High Retention + Furniture
AR-10510,187,6,254.064,2014-05-02,1156,3,2,1,10.8,No,634.501708984375,0.09668338298797607,0.9033166170120239,Potential Loyalists,Low Value,Medium Retention,Low Value + Medium Retention,Technology,Low Value + Medium Retention + Technology
AR-10540,166,8,6590.568,2014-11-25,949,3,2,5,17.88,No,958.7784423828125,0.32557594776153564,0.6744240522384644,Champions,High Value,Medium Retention,High Value + Medium Retention,Office Supplies,High Value + Medium Retention + Office Supplies
AR-10570,352,2,88.15,2016-07-14,352,1,1,1,0,Yes,529.99755859375,0.6692731976509094,0.3307268023490906,At Risk,Low Value,Low Retention,Low Value + Low Retention,Furniture,Low Value + Low Retention + Furniture
AR-10825,202,7,2147.9880000000003,2014-06-30,1097,2,2,3,2375.348,No,959.69921875,0.05698347091674805,0.943016529083252,Loyal Customers,High Value,High Retention,High Value + High Retention,Technology,High Value + High Retention + Technology
AS-10045,180,6,1315.06,2014-07-27,1070,3,2,2,1735.632,No,925.0673828125,0.1016802191734314,0.8983197808265686,Loyal Customers,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
AS-10090,91,19,2536.55,2014-09-22,1013,4,5,4,718.76,No,862.444580078125,0.2016652226448059,0.7983347773551941,Champions,Medium Value,Medium Retention,Medium Value + Medium Retention,Furniture,Medium Value + Medium Retention + Furniture
AS-10135,230,1,4.18,2016-11-13,230,2,1,1,54.64,No,529.99755859375,0.5005371272563934,0.49946287274360657,Needs Attention,Low Value,Low Retention,Low Value + Low Retention,Office Supplies,Low Value + Low Retention + Office Supplies
AS-10225,211,5,2409.2000000000003,2014-10-18,987,2,1,4,1851.584,No,999.2623291015625,0.10782980918884277,0.8921701908111572,Loyal Customers,High Value,Medium Retention,High Value + Medium Retention,Furniture,High Value + Medium Retention + Furniture
AS-10240,10,13,584.6080000000001,2014-03-15,1204,5,4,1,0,Yes,296.669677734375,0.02943509817123413,0.9705649018287659,Needs Attention,Low Value,High Retention,Low Value + High Retention,Office Supplies,Low Value + High Retention + Office Supplies
AS-10285,232,7,3097.924,2016-05-21,406,2,2,4,116.312,No,958.7784423828125,0.16920322179794312,0.8307967782020569,Loyal Customers,High Value,Medium Retention,High Value + Medium Retention,Furniture,High Value + Medium Retention + Furniture
AS-10630,62,9,460.952,2014-08-01,1065,4,3,1,372.44599999999997,No,665.4190673828125,0.1504794955253601,0.8495205044746399,Potential Loyalists,Low Value,Medium Retention,Low Value + Medium Retention,Office Supplies,Low Value + Medium Retention + Office Supplies
AT-10435,90,6,75.32600000000001,2014-11-24,950,4,2,1,1096.488,No,619.7532958984375,0.03673321008682251,0.9632667899131775,Loyal Customers,Low Value,High Retention,Low Value + High Retention,Furniture,Low Value + High Retention + Furniture
AT-10735,43,11,3414.044,2014-08-30,1036,4,3,5,417.82,No,892.06097412109375,0.02578216791152954,0.9742178320884705,Champions,Medium Value,High Retention,Medium Value + High Retention,Office Supplies,Medium Value + High Retention + Office Supplies
AW-10840,580,3,43.144000000000005,2015-04-13,810,1,1,1,606.232,No,603.595947265625,0.09490573406219482,0.9050942659378052,Potential Loyalists,Low Value,Medium Retention,Low Value + Medium Retention,Furniture,Low Value + Medium Retention + Furniture
AW-10930,225,13,2141.608,2014-07-14,1083,2,4,3,711.36,No,795.97802734375,0.08823412656784058,0.9117658734321594,Loyal Customers,Medium Value,Medium Retention,Medium Value + Medium Retention,Office Supplies,Medium Value + Medium Retention + Office Supplies
AY-10555,195,6,274.98199999999997,2014-04-06,1182,3,2,1,222.03199999999998,No,634.501708984375,0.1934952735900879,0.8065047264099121,Potential Loyalists,Low Value,Medium Retention,Low Value + Medium Retention,Furniture,Low Value + Medium Retention + Furniture
AZ-10750,512,11,1500.482,2014-03-17,1202,1,4,3,121.536,No,812.49627685546875,0.06109720468521118,0.9389027953147888,Potential Loyalists,Medium Value,High Retention,Medium Value + High Retention,Furniture,Medium Value + High Retention + Furniture
BB-10990,30,6,729.54,2014-07-27,1070,5,2,2,14.8,No,572.962158203125,0.07603579759597778,0.9239642024040222,Needs Attention,Low Value,High Retention,Low Value + High Retention,Office Supplies,Low Value + High Retention + Office Supplies
BB-11545,187,12,2179.468,2015-06-05,757,3,4,4,4586.26,No,999.2623291015625,0.28810930252075195,0.711890697479248,Champions,High Value,Medium Retention,High Value + Medium Retention,Furniture,High Value + Medium Retention + Furniture
BC-11125,20,18,2933.676,2014-07-06,1091,5,5,4,0,Yes,635.88287353515625,0.26670557260513306,0.7332944273948669,Loyal Customers,Low Value,Medium Retention,Low Value + Medium Retention,Furniture,Low Value + Medium Retention + Furniture
BD-11320,21,16,5290.233,2015-05-31,762,5,5,5,428.28799999999995,No,675.44598388671875,0.04102599620819092,0.9589740037918091,Champions,Low Value,High Retention,Low Value + High Retention,Furniture,Low Value + High Retention + Furniture
BD-11500,156,8,4041.2639999999997,2014-02-01,1246,3,2,5,369.97900000000004,No,806.64422607421875,0.05617797374725342,0.9438220262527466,Loyal Customers,Medium Value,High Retention,Medium Value + High Retention,Technology,Medium Value + High Retention + Technology
BD-11560,96,4,320.54,2015-05-30,763,4,1,1,0,Yes,850.75390625,0.4794727563858032,0.5205272436141968,At Risk,Medium Value,Low Retention,Medium Value + Low Retention,Office Supplies,Medium Value + Low Retention + Office Supplies
BD-11605,183,18,3034.647,2014-01-13,1265,3,5,4,253.82399999999998,No,1415.7255859375,0.09796297550201416,0.9020370244979858,Loyal Customers,High Value,Medium Retention,High Value + Medium Retention,Office Supplies,High Value + Medium Retention + Office Supplies
BD-11620,182,6,956.04,2014-06-30,1097,3,2,2,582.0699999999999,No,925.0673828125,0.0840069055557251,0.9159930944442749,Potential Loyalists,Medium Value,Medium Retention,Medium Value + Medium Retention,Office Supplies,Medium Value + Medium Retention + Office Supplies
BD-11635,574,4,511.646,2014-10-05,1000,1,1,1,71,No,783.3665771484375,0.1333315372467041,0.8666684627532959,Potential Loyalists,Medium Value,Medium Retention,Medium Value + Medium Retention,Office Supplies,Medium Value + Medium Retention + Office Supplies
BD-11725,32,7,1341.55,2015-07-03,729,5,2,2,184.95,No,845.01922607421875,0.24994558095932007,0.7500544190406799,Potential Loyalists,Medium Value,Medium Retention,Medium Value + Medium Retention,Office Supplies,Medium Value + Medium Retention + Office Supplies
BD-11770,145,10,658.466,2016-03-10,478,3,3,1,0,Yes,732.136474609375,0.023221135139465332,0.9767788648605347,Needs Attention,Medium Value,High Retention,Medium Value + High Retention,Office Supplies,Medium Value + High Retention + Office Supplies
BE-11335,100,3,314.75600000000003,2016-01-15,533,4,1,1,3889.92,No,850.75390625,0.08227896690368652,0.9177210330963135,Potential Loyalists,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
BE-11410,161,4,2009.798,2016-02-07,510,3,1,3,251.64,No,1050.492431640625,0.039576709270477295,0.9604232907295227,Potential Loyalists,High Value,High Retention,High Value + High Retention,Technology,High Value + High Retention + Technology
BE-11455,72,13,1727.652,2015-08-02,699,4,4,3,0,Yes,808.38677978515625,0.6206512153148651,0.3793487846851349,Needs Attention,Medium Value,Low Retention,Medium Value + Low Retention,Office Supplies,Medium Value + Low Retention + Office Supplies
BF-10975,223,12,579.134,2014-07-14,1083,2,4,1,20.664,No,692.5733642578125,0.06889396905899048,0.9311060309410095,Potential Loyalists,Medium Value,High Retention,Medium Value + High Retention,Office Supplies,Medium Value + High Retention + Office Supplies
BF-11005,338,5,594.144,2014-09-25,1010,1,1,1,739.736,No,732.136474609375,0.4790133833885193,0.5209866166114807,Potential Loyalists,Medium Value,Low Retention,Medium Value + Low Retention,Technology,Medium Value + Low Retention + Technology
BF-11020,91,13,2149.124,2014-02-15,1232,4,4,3,739.382,No,750.79425048828125,0.2149692177772522,0.7850307822227478,Loyal Customers,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
BF-11080,946,1,14.67,2014-11-28,946,1,1,1,258.28,No,502.1850280761719,0.3268589973449707,0.6731410026550293,Potential Loyalists,Low Value,Medium Retention,Low Value + Medium Retention,Office Supplies,Low Value + Medium Retention + Office Supplies
BF-11170,117,22,4064.57,2014-04-13,1175,3,5,5,1843.402,No,764.809814453125,0.23844891786575317,0.7615510821342468,Champions,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
BF-11215,110,7,1529.546,2014-11-09,965,3,2,3,55.616,No,1032.017822265625,0.059241533279418945,0.940758466720581,Needs Attention,High Value,High Retention,High Value + High Retention,Furniture,High Value + High Retention + Furniture
BF-11275,1197,2,388.70399999999995,2014-03-22,1197,1,1,1,403.28599999999994,No,529.8212890625,0.46319252252578735,0.5368074774742126,Needs Attention,Low Value,Low Retention,Low Value + Low Retention,Technology,Low Value + Low Retention + Technology
BG-11035,226,9,2100.712,2014-11-05,969,2,3,3,698.236,No,999.2623291015625,0.1933322548866272,0.8066677451133728,Loyal Customers,High Value,Medium Retention,High Value + Medium Retention,Office Supplies,High Value + Medium Retention + Office Supplies
BG-11695,186,6,1811.554,2014-05-11,1147,3,2,3,62.617999999999995,No,901.6275634765625,0.03594022989273071,0.9640597701072693,Loyal Customers,Medium Value,High Retention,Medium Value + High Retention,Furniture,Medium Value + High Retention + Furniture
BG-11740,75,6,519.9879999999999,2014-03-23,1196,4,2,1,486.368,No,607.347412109375,0.04548144340515137,0.9545185565948486,Potential Loyalists,Low Value,High Retention,Low Value + High Retention,Furniture,Low Value + High Retention + Furniture
BH-11710,44,22,5882.711,2014-06-09,1118,4,5,5,372.64,No,728.33978271484375,0.02383178472518921,0.9761682152748108,Champions,Medium Value,High Retention,Medium Value + High Retention,Furniture,Medium Value + High Retention + Furniture
BK-11260,232,14,590.818,2014-08-03,1063,2,4,1,68.32,No,528.8521728515625,0.1151244044303894,0.8848755955696106,Potential Loyalists,Low Value,Medium Retention,Low Value + Medium Retention,Office Supplies,Low Value + Medium Retention + Office Supplies
BM-11140,125,16,11789.630000000001,2014-09-08,1027,3,5,5,0,Yes,677.7677001953125,0.31664276123046875,0.68335723876953125,Potential Loyalists,Low Value,Medium Retention,Low Value + Medium Retention,Technology,Low Value + Medium Retention + Technology
BM-11575,44,9,792.6519999999999,2015-09-15,655,4,3,2,15.51,No,704.982177734375,0.06659841537475586,0.9334015846252441,Potential Loyalists,Medium Value,High Retention,Medium Value + High Retention,Office Supplies,Medium Value + High Retention + Office Supplies
BM-11650,49,22,4087.911,2014-07-09,1088,4,5,5,3206.274,No,728.33978271484375,0.013302028179168701,0.9866979718208313,Champions,Medium Value,High Retention,Medium Value + High Retention,Office Supplies,Medium Value + High Retention + Office Supplies
BM-11785,36,14,1338.842,2014-06-06,1121,5,4,2,0,Yes,734.19183349609375,0.7428079843521118,0.2571920156478882,Potential Loyalists,Medium Value,Low Retention,Medium Value + Low Retention,Technology,Medium Value + Low Retention + Technology
BN-11470,109,5,254.616,2014-09-12,1023,3,1,1,10.68,No,799.5238037109375,0.33869296312332153,0.6613070368766785,Potential Loyalists,Medium Value,Medium Retention,Medium Value + Medium Retention,Office Supplies,Medium Value + Medium Retention + Office Supplies
BN-11515,408,14,1331.934,2014-03-17,1202,1,4,2,127.41000000000001,No,648.77508544921875,0.19559144973754883,0.8044085502624512,Potential Loyalists,Low Value,Medium Retention,Low Value + Medium Retention,Office Supplies,Low Value + Medium Retention + Office Supplies
BO-11350,59,11,2632.328,2016-01-03,545,4,4,4,50.4,No,931.62408447265625,0.02357804775238037,0.9764219522476196,Potential Loyalists,High Value,High Retention,High Value + High Retention,Furniture,High Value + High Retention + Furniture
BO-11425,660,1,6.08,2015-09-10,660,1,1,1,124.75,No,502.1850280761719,0.22537976503372192,0.7746202349662781,Needs Attention,Low Value,Medium Retention,Low Value + Medium Retention,Office Supplies,Low Value + Medium Retention + Office Supplies
BP-11050,105,6,940.66,2014-10-12,993,3,2,2,42.76,No,1032.017822265625,0.3625810146331787,0.6374189853668213,Potential Loyalists,High Value,Medium Retention,High Value + Medium Retention,Office Supplies,High Value + Medium Retention + Office Supplies
BP-11095,77,16,1228.262,2014-06-07,1120,4,5,2,1213.7820000000002,No,734.19183349609375,0.19864201545715332,0.8013579845428467,Champions,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
BP-11155,93,9,1629.901,2015-06-04,758,4,3,3,67.96,No,1066.6495361328125,0.0878685712814331,0.9121314287185669,Potential Loyalists,High Value,Medium Retention,High Value + Medium Retention,Technology,High Value + Medium Retention + Technology
BP-11185,190,10,1964.457,2015-03-24,830,3,3,3,1711.404,No,999.2623291015625,0.1712270975112915,0.8287729024887085,Champions,High Value,Medium Retention,High Value + Medium Retention,Technology,High Value + Medium Retention + Technology
BP-11230,198,5,1110.51,2014-04-20,1168,3,1,2,70.98,No,866.9957275390625,0.08985155820846558,0.9101484417915344,Potential Loyalists,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
BP-11290,173,10,1806.457,2014-10-03,1002,3,3,3,668.6999999999999,No,999.2623291015625,0.1547415852546692,0.8452584147453308,Loyal Customers,High Value,Medium Retention,High Value + Medium Retention,Furniture,High Value + Medium Retention + Furniture
BS-11365,376,9,10501.653,2014-05-04,1154,1,3,5,0,Yes,743.8541259765625,0.7033954560756683,0.29660454392433167,Potential Loyalists,Medium Value,Low Retention,Medium Value + Low Retention,Technology,Medium Value + Low Retention + Technology
BS-11380,111,3,845.9159999999999,2014-11-29,945,3,1,2,3041.918,No,942.61572265625,0.35407036542892456,0.6459296345710754,Loyal Customers,High Value,Medium Retention,High Value + Medium Retention,Furniture,High Value + Medium Retention + Furniture
BS-11590,287,9,1752.9679999999998,2014-01-14,1264,2,3,3,701.96,No,1619.9305419921875,0.22183996438980103,0.778160035610199,Loyal Customers,High Value,Medium Retention,High Value + Medium Retention,Office Supplies,High Value + Medium Retention + Office Supplies
BS-11665,400,11,3288.11,2014-06-23,1104,1,4,4,0,Yes,919.21533203125,0.2699679136276245,0.7300320863723755,Needs Attention,Medium Value,Medium Retention,Medium Value + Medium Retention,Office Supplies,Medium Value + Medium Retention + Office Supplies
BS-11755,82,10,2287.538,2014-05-18,1140,4,3,4,274.844,No,874.47320556640625,0.18888503313064575,0.8111149668693542,Loyal Customers,Medium Value,Medium Retention,Medium Value + Medium Retention,Office Supplies,Medium Value + Medium Retention + Office Supplies
BS-11800,83,8,949.43,2015-09-26,644,4,2,2,0,Yes,1032.017822265625,0.14292436838150024,0.8570756316184998,At Risk,High Value,Medium Retention,High Value + Medium Retention,Office Supplies,High Value + Medium Retention + Office Supplies
BT-11305,154,9,2567.656,2014-04-25,1163,3,3,4,0,Yes,861.1436767578125,0.36639857292175293,0.6336014270782471,Needs Attention,Medium Value,Medium Retention,Medium Value + Medium Retention,Furniture,Medium Value + Medium Retention + Furniture
BT-11395,120,10,2186.6130000000003,2014-10-28,977,3,3,4,0,Yes,1066.6495361328125,0.51990607380867,0.48009392619132996,Potential Loyalists,High Value,Low Retention,High Value + Low Retention,Furniture,High Value + Low Retention + Furniture
BT-11440,378,7,603.876,2014-06-04,1123,1,2,1,0,Yes,692.5733642578125,0.7354913949966431,0.26450860500335693,At Risk,Medium Value,Low Retention,Medium Value + Low Retention,Furniture,Medium Value + Low Retention + Furniture
BT-11485,477,3,415.19599999999997,2015-12-27,552,1,1,1,0,Yes,783.3665771484375,0.17037010192871094,0.8296298980712891,At Risk,Medium Value,Medium Retention,Medium Value + Medium Retention,Office Supplies,Medium Value + Medium Retention + Office Supplies
BT-11530,125,9,2524.512,2014-05-21,1137,3,3,4,159.98,No,861.1436767578125,0.19013530015945435,0.8098646998405457,Potential Loyalists,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
BT-11680,436,17,3095.3920000000003,2014-11-28,946,1,5,4,101.36,No,795.0572509765625,0.44760894775390625,0.55239105224609375,Loyal Customers,Medium Value,Low Retention,Medium Value + Low Retention,Technology,Medium Value + Low Retention + Technology
BV-11245,152,14,1523.273,2015-03-26,828,3,4,3,0,Yes,800.9093017578125,0.10356646776199341,0.8964335322380066,Needs Attention,Medium Value,Medium Retention,Medium Value + Medium Retention,Furniture,Medium Value + Medium Retention + Furniture
BW-11065,30,3,385.516,2014-05-25,1133,5,1,1,0,Yes,566.1204833984375,0.32907634973526,0.67092365026474,Needs Attention,Low Value,Medium Retention,Low Value + Medium Retention,Office Supplies,Low Value + Medium Retention + Office Supplies
