customer_id,recency,frequency,monetary,first_purchase,avg_order_value,tenure_days,r_score,f_score,m_score,future_spend,is_churn,segment,value_tier,engagement_tier,strategic_segment,top_category
AG-10900,61,19,4224.847,2014-07-23,222.36036842105264,1074,4,5,5,285.95000000000005,No,Champions,High Value,Highly Engaged,High Value - Highly Engaged,Furniture
AH-10030,468,10,1725.996,2014-04-22,172.5996,1166,1,3,3,18.704,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Technology
AH-10075,43,11,1868.0259999999998,2014-11-16,169.82054545454545,958,4,3,3,1382.311,No,Champions,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Furniture
AH-10120,84,11,1359.984,2014-07-18,123.63490909090909,1079,4,3,3,375.53000000000003,No,Potential Loyalists,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Office Supplies
AH-10195,195,5,1543.006,2015-03-05,308.6012,849,3,1,3,44.446000000000005,No,Needs Attention,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
AH-10210,115,9,1679.264,2014-11-29,186.58488888888888,945,3,3,3,3126.08,No,Champions,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Office Supplies
AH-10465,48,8,2495.3916,2015-01-03,311.92395,910,4,2,4,0,Yes,Needs Attention,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Furniture
AH-10585,289,3,483.28,2014-10-26,161.09333333333333,979,2,1,1,255.22400000000002,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Technology
AH-10690,228,23,7888.294,2014-04-02,342.9693043478261,1186,2,5,5,0,Yes,Loyal Customers,High Value,Inactive,High Value - Inactive,Furniture
AI-10855,57,15,3800.832,2014-04-28,253.3888,1160,4,5,5,574.954,No,Champions,High Value,Highly Engaged,High Value - Highly Engaged,Technology
AJ-10780,48,14,4559.568,2014-01-10,325.6834285714286,1268,4,4,5,307.776,No,Loyal Customers,High Value,Highly Engaged,High Value - Highly Engaged,Office Supplies
AJ-10795,187,17,3206.366,2014-05-14,188.60976470588236,1144,3,5,4,1295.0249999999999,No,Loyal Customers,High Value,Inactive,High Value - Inactive,Furniture
AJ-10945,225,8,1191.166,2014-03-03,148.89575,1216,2,2,2,648.0740000000001,No,Potential Loyalists,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
AJ-10960,914,4,618.608,2014-09-14,154.652,1021,1,1,1,10.64,No,Needs Attention,Low Value,Inactive,Low Value - Inactive,Office Supplies
AM-10360,34,7,635.122,2014-10-06,90.73171428571429,999,5,2,1,178.89,No,Potential Loyalists,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Office Supplies
AM-10705,6,15,4712.042,2014-10-31,314.13613333333336,974,5,5,5,951.98,No,Loyal Customers,High Value,Highly Engaged,High Value - Highly Engaged,Furniture
AO-10810,319,1,161.28,2016-08-16,161.28,319,1,1,1,0,Yes,At Risk,Low Value,Inactive,Low Value - Inactive,Furniture
AP-10720,207,17,1500.172,2014-03-03,88.24541176470588,1216,2,5,3,138.382,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
AP-10915,65,28,3070.536,2014-08-23,109.662,1043,4,5,4,253.01999999999998,No,Loyal Customers,High Value,Highly Engaged,High Value - Highly Engaged,Furniture
AR-10345,660,3,955.614,2014-12-30,318.538,914,1,1,2,100.08,No,Needs Attention,Medium Value,Inactive,Medium Value - Inactive,Furniture
AR-10405,12,6,747.704,2014-10-03,124.61733333333333,1002,5,2,2,1488.424,No,Potential Loyalists,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Furniture
AR-10510,187,6,254.064,2014-05-02,42.344,1156,3,2,1,10.8,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Technology
AR-10540,166,8,6590.568,2014-11-25,823.821,949,3,2,5,17.88,No,Champions,High Value,Moderately Engaged,High Value - Moderately Engaged,Office Supplies
AR-10570,352,2,88.15,2016-07-14,44.075,352,1,1,1,0,Yes,At Risk,Low Value,Inactive,Low Value - Inactive,Furniture
AR-10825,202,7,2147.9880000000003,2014-06-30,306.8554285714286,1097,2,2,3,2375.348,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Technology
AS-10045,180,6,1315.06,2014-07-27,219.17666666666668,1070,3,2,2,1735.632,No,Loyal Customers,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Technology
AS-10090,91,19,2536.55,2014-09-22,133.5026315789474,1013,4,5,4,718.76,No,Champions,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Furniture
AS-10135,230,1,4.18,2016-11-13,4.18,230,2,1,1,54.64,No,Needs Attention,Low Value,Inactive,Low Value - Inactive,Office Supplies
AS-10225,211,5,2409.2000000000003,2014-10-18,481.84000000000003,987,2,1,4,1851.584,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Furniture
AS-10240,10,13,584.6080000000001,2014-03-15,44.969846153846156,1204,5,4,1,0,Yes,Needs Attention,Low Value,Highly Engaged,Low Value - Highly Engaged,Office Supplies
AS-10285,232,7,3097.924,2016-05-21,442.56057142857145,406,2,2,4,116.312,No,Loyal Customers,High Value,Inactive,High Value - Inactive,Furniture
AS-10630,62,9,460.952,2014-08-01,51.21688888888889,1065,4,3,1,372.44599999999997,No,Potential Loyalists,Low Value,Highly Engaged,Low Value - Highly Engaged,Office Supplies
AT-10435,90,6,75.32600000000001,2014-11-24,12.554333333333334,950,4,2,1,1096.488,No,Loyal Customers,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Furniture
AT-10735,43,11,3414.044,2014-08-30,310.36763636363634,1036,4,3,5,417.82,No,Champions,High Value,Highly Engaged,High Value - Highly Engaged,Office Supplies
AW-10840,580,3,43.144000000000005,2015-04-13,14.381333333333334,810,1,1,1,606.232,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Furniture
AW-10930,225,13,2141.608,2014-07-14,164.73907692307694,1083,2,4,3,711.36,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
AY-10555,195,6,274.98199999999997,2014-04-06,45.83033333333333,1182,3,2,1,222.03199999999998,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Furniture
AZ-10750,512,11,1500.482,2014-03-17,136.40745454545453,1202,1,4,3,121.536,No,Potential Loyalists,Medium Value,Inactive,Medium Value - Inactive,Furniture
BB-10990,30,6,729.54,2014-07-27,121.59,1070,5,2,2,14.8,No,Needs Attention,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Office Supplies
BB-11545,187,12,2179.468,2015-06-05,181.62233333333333,757,3,4,4,4586.26,No,Champions,Medium Value,Inactive,Medium Value - Inactive,Furniture
BC-11125,20,18,2933.676,2014-07-06,162.982,1091,5,5,4,0,Yes,Loyal Customers,High Value,Highly Engaged,High Value - Highly Engaged,Furniture
BD-11320,21,16,5290.233,2015-05-31,330.6395625,762,5,5,5,428.28799999999995,No,Champions,High Value,Highly Engaged,High Value - Highly Engaged,Furniture
BD-11500,156,8,4041.2639999999997,2014-02-01,505.15799999999996,1246,3,2,5,369.97900000000004,No,Loyal Customers,High Value,Moderately Engaged,High Value - Moderately Engaged,Technology
BD-11560,96,4,320.54,2015-05-30,80.135,763,4,1,1,0,Yes,At Risk,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Office Supplies
BD-11605,183,18,3034.647,2014-01-13,168.5915,1265,3,5,4,253.82399999999998,No,Loyal Customers,High Value,Inactive,High Value - Inactive,Office Supplies
BD-11620,182,6,956.04,2014-06-30,159.34,1097,3,2,2,582.0699999999999,No,Potential Loyalists,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
BD-11635,574,4,511.646,2014-10-05,127.9115,1000,1,1,1,71,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Office Supplies
BD-11725,32,7,1341.55,2015-07-03,191.65,729,5,2,2,184.95,No,Potential Loyalists,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Office Supplies
BD-11770,145,10,658.466,2016-03-10,65.8466,478,3,3,1,0,Yes,Needs Attention,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Office Supplies
BE-11335,100,3,314.75600000000003,2016-01-15,104.91866666666667,533,4,1,1,3889.92,No,Potential Loyalists,Low Value,Occasional,Low Value - Occasional,Technology
BE-11410,161,4,2009.798,2016-02-07,502.4495,510,3,1,3,251.64,No,Potential Loyalists,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Technology
BE-11455,72,13,1727.652,2015-08-02,132.8963076923077,699,4,4,3,0,Yes,Needs Attention,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Office Supplies
BF-10975,223,12,579.134,2014-07-14,48.26116666666667,1083,2,4,1,20.664,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Office Supplies
BF-11005,338,5,594.144,2014-09-25,118.8288,1010,1,1,1,739.736,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Technology
BF-11020,91,13,2149.124,2014-02-15,165.31723076923078,1232,4,4,3,739.382,No,Loyal Customers,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Technology
BF-11080,946,1,14.67,2014-11-28,14.67,946,1,1,1,258.28,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Office Supplies
BF-11170,117,22,4064.57,2014-04-13,184.75318181818182,1175,3,5,5,1843.402,No,Champions,High Value,Moderately Engaged,High Value - Moderately Engaged,Technology
BF-11215,110,7,1529.546,2014-11-09,218.50657142857145,965,3,2,3,55.616,No,Needs Attention,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Furniture
BF-11275,1197,2,388.70399999999995,2014-03-22,194.35199999999998,1197,1,1,1,403.28599999999994,No,Needs Attention,Low Value,Inactive,Low Value - Inactive,Technology
BG-11035,226,9,2100.712,2014-11-05,233.41244444444442,969,2,3,3,698.236,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
BG-11695,186,6,1811.554,2014-05-11,301.9256666666667,1147,3,2,3,62.617999999999995,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Furniture
BG-11740,75,6,519.9879999999999,2014-03-23,86.66466666666666,1196,4,2,1,486.368,No,Potential Loyalists,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Furniture
BH-11710,44,22,5882.711,2014-06-09,267.3959545454545,1118,4,5,5,372.64,No,Champions,High Value,Highly Engaged,High Value - Highly Engaged,Furniture
BK-11260,232,14,590.818,2014-08-03,42.20128571428571,1063,2,4,1,68.32,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Office Supplies
BM-11140,125,16,11789.630000000001,2014-09-08,736.8518750000001,1027,3,5,5,0,Yes,Potential Loyalists,High Value,Moderately Engaged,High Value - Moderately Engaged,Technology
BM-11575,44,9,792.6519999999999,2015-09-15,88.07244444444444,655,4,3,2,15.51,No,Potential Loyalists,Low Value,Highly Engaged,Low Value - Highly Engaged,Office Supplies
BM-11650,49,22,4087.911,2014-07-09,185.81413636363638,1088,4,5,5,3206.274,No,Champions,High Value,Highly Engaged,High Value - Highly Engaged,Office Supplies
BM-11785,36,14,1338.842,2014-06-06,95.63157142857143,1121,5,4,2,0,Yes,Potential Loyalists,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Technology
BN-11470,109,5,254.616,2014-09-12,50.9232,1023,3,1,1,10.68,No,Potential Loyalists,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Office Supplies
BN-11515,408,14,1331.934,2014-03-17,95.13814285714285,1202,1,4,2,127.41000000000001,No,Potential Loyalists,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
BO-11350,59,11,2632.328,2016-01-03,239.30254545454545,545,4,4,4,50.4,No,Potential Loyalists,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Furniture
BO-11425,660,1,6.08,2015-09-10,6.08,660,1,1,1,124.75,No,Needs Attention,Low Value,Inactive,Low Value - Inactive,Office Supplies
BP-11050,105,6,940.66,2014-10-12,156.77666666666667,993,3,2,2,42.76,No,Potential Loyalists,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Office Supplies
BP-11095,77,16,1228.262,2014-06-07,76.766375,1120,4,5,2,1213.7820000000002,No,Champions,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Technology
BP-11155,93,9,1629.901,2015-06-04,181.10011111111112,758,4,3,3,67.96,No,Potential Loyalists,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Technology
BP-11185,190,10,1964.457,2015-03-24,196.4457,830,3,3,3,1711.404,No,Champions,Medium Value,Inactive,Medium Value - Inactive,Technology
BP-11230,198,5,1110.51,2014-04-20,222.102,1168,3,1,2,70.98,No,Potential Loyalists,Medium Value,Inactive,Medium Value - Inactive,Technology
BP-11290,173,10,1806.457,2014-10-03,180.6457,1002,3,3,3,668.6999999999999,No,Loyal Customers,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Furniture
BS-11365,376,9,10501.653,2014-05-04,1166.8503333333333,1154,1,3,5,0,Yes,Potential Loyalists,High Value,Inactive,High Value - Inactive,Technology
BS-11380,111,3,845.9159999999999,2014-11-29,281.972,945,3,1,2,3041.918,No,Loyal Customers,Medium Value,Occasional,Medium Value - Occasional,Furniture
BS-11590,287,9,1752.9679999999998,2014-01-14,194.77422222222222,1264,2,3,3,701.96,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
BS-11665,400,11,3288.11,2014-06-23,298.9190909090909,1104,1,4,4,0,Yes,Needs Attention,High Value,Inactive,High Value - Inactive,Office Supplies
BS-11755,82,10,2287.538,2014-05-18,228.7538,1140,4,3,4,274.844,No,Loyal Customers,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Office Supplies
BS-11800,83,8,949.43,2015-09-26,118.67875,644,4,2,2,0,Yes,At Risk,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Office Supplies
BT-11305,154,9,2567.656,2014-04-25,285.2951111111111,1163,3,3,4,0,Yes,Needs Attention,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Furniture
BT-11395,120,10,2186.6130000000003,2014-10-28,218.6613,977,3,3,4,0,Yes,Potential Loyalists,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Furniture
BT-11440,378,7,603.876,2014-06-04,86.268,1123,1,2,1,0,Yes,At Risk,Low Value,Inactive,Low Value - Inactive,Furniture
BT-11485,477,3,415.19599999999997,2015-12-27,138.39866666666666,552,1,1,1,0,Yes,At Risk,Low Value,Inactive,Low Value - Inactive,Office Supplies
BT-11530,125,9,2524.512,2014-05-21,280.5013333333333,1137,3,3,4,159.98,No,Potential Loyalists,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Technology
BT-11680,436,17,3095.3920000000003,2014-11-28,182.0818823529412,946,1,5,4,101.36,No,Loyal Customers,High Value,Inactive,High Value - Inactive,Technology
BV-11245,152,14,1523.273,2015-03-26,108.80521428571429,828,3,4,3,0,Yes,Needs Attention,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Furniture
BW-11065,30,3,385.516,2014-05-25,128.50533333333334,1133,5,1,1,0,Yes,Needs Attention,Low Value,Occasional,Low Value - Occasional,Office Supplies
BW-11110,35,15,4031.06,2015-03-20,268.7373333333333,834,5,5,5,719.298,No,Loyal Customers,High Value,Highly Engaged,High Value - Highly Engaged,Technology
BW-11200,21,10,1738.406,2014-08-12,173.8406,1054,5,3,3,0,Yes,Potential Loyalists,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Technology
CA-11965,156,9,3765.2748,2014-01-26,418.3638666666667,1252,3,3,5,24.448,No,Loyal Customers,High Value,Moderately Engaged,High Value - Moderately Engaged,Technology
CA-12055,219,10,1679.7240000000002,2015-09-05,167.9724,665,2,3,3,0,Yes,Needs Attention,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
CA-12265,510,8,1121.63,2014-03-25,140.20375,1194,1,2,2,1526.6572,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Furniture
CA-12310,545,7,831.87,2014-07-19,118.83857142857143,1078,1,2,2,590.084,No,Potential Loyalists,Medium Value,Inactive,Medium Value - Inactive,Technology
CA-12775,50,16,2543.306,2014-06-28,158.956625,1099,4,5,4,498.26,No,Potential Loyalists,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Furniture
CB-12025,146,19,5279.671,2014-03-21,277.8774210526316,1198,3,5,5,796.468,No,Champions,High Value,Moderately Engaged,High Value - Moderately Engaged,Office Supplies
CB-12415,127,10,1740.8120000000001,2015-11-05,174.08120000000002,604,3,3,3,208.38799999999998,No,Loyal Customers,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Technology
CB-12535,15,19,4246.4555,2015-01-02,223.49765789473685,911,5,5,5,0,Yes,Loyal Customers,High Value,Highly Engaged,High Value - Highly Engaged,Office Supplies
CC-12100,275,13,1770.945,2014-12-16,136.22653846153847,928,2,4,3,0,Yes,Potential Loyalists,Medium Value,Inactive,Medium Value - Inactive,Technology
CC-12145,309,10,2439.906,2014-07-20,243.9906,1077,1,3,4,31.744,No,Potential Loyalists,Medium Value,Inactive,Medium Value - Inactive,Technology
CC-12220,5,16,3120.998,2014-09-09,195.062375,1026,5,5,4,792.42,No,Champions,High Value,Highly Engaged,High Value - Highly Engaged,Technology
CC-12370,320,8,11901.184000000001,2016-05-23,1487.6480000000001,404,1,2,5,227.888,No,Loyal Customers,High Value,Inactive,High Value - Inactive,Technology
CC-12430,42,13,2157.9500000000003,2015-09-06,165.99615384615385,664,5,4,3,712.1,No,Champions,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Furniture
CC-12475,236,6,858.836,2014-05-16,143.13933333333333,1142,2,2,2,800.6020000000001,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Technology
CC-12550,16,1,47.976,2017-06-15,47.976,16,5,1,1,65.856,No,Needs Attention,Low Value,Occasional,Low Value - Occasional,Office Supplies
CC-12610,264,10,2275.223,2014-08-27,227.5223,1039,2,3,4,265.408,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Furniture
CC-12670,13,11,2010.2615,2014-12-23,182.75104545454545,921,5,4,3,259.44,No,Loyal Customers,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Furniture
CC-12685,617,12,2854.1150000000002,2014-03-22,237.84291666666667,1197,1,4,4,0,Yes,Needs Attention,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
CD-11920,36,5,474.3,2014-03-24,94.86,1195,5,1,1,1559.6680000000001,No,Potential Loyalists,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Technology
CD-11980,105,5,320.806,2016-11-24,64.1612,219,3,1,1,318.96,No,Needs Attention,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Office Supplies
CD-12790,217,15,1860.732,2014-02-02,124.0488,1245,2,5,3,0,Yes,Needs Attention,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
CG-12040,104,8,886.2280000000001,2015-06-01,110.77850000000001,761,3,2,2,18.24,No,Potential Loyalists,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Office Supplies
CG-12520,156,5,1148.78,2015-10-15,229.756,625,3,1,2,0,Yes,Needs Attention,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Furniture
CH-12070,509,4,1537.236,2015-06-25,384.309,737,1,1,3,0,Yes,Needs Attention,Medium Value,Inactive,Medium Value - Inactive,Technology
CJ-11875,183,1,16.52,2016-12-30,16.52,183,3,1,1,0,Yes,At Risk,Low Value,Inactive,Low Value - Inactive,Office Supplies
CJ-12010,7,20,11164.974,2016-03-10,558.2487,478,5,5,5,0,Yes,Loyal Customers,High Value,Highly Engaged,High Value - Highly Engaged,Furniture
CK-12205,50,26,1663.8329999999999,2014-03-11,63.99357692307692,1208,4,5,3,1491.022,No,Champions,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Technology
CK-12325,134,11,2937.741,2014-03-14,267.06736363636367,1205,3,4,4,7.58,No,Potential Loyalists,High Value,Moderately Engaged,High Value - Moderately Engaged,Furniture
CK-12595,128,21,1549.762,2014-12-26,73.79819047619047,918,3,5,3,822.988,No,Loyal Customers,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Technology
CK-12760,95,12,863.014,2014-02-07,71.91783333333333,1240,4,4,2,719.095,No,Loyal Customers,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Furniture
CL-11890,21,3,180.324,2014-07-26,60.108000000000004,1071,5,1,1,1081.69,No,Needs Attention,Low Value,Occasional,Low Value - Occasional,Furniture
CL-12565,102,28,10880.546,2014-03-04,388.59092857142855,1215,3,5,5,0,Yes,Loyal Customers,High Value,Moderately Engaged,High Value - Moderately Engaged,Technology
CL-12700,78,7,2335.586,2016-04-24,333.65514285714283,433,4,2,4,18,No,Potential Loyalists,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Furniture
CM-11815,34,7,679.424,2014-11-14,97.06057142857144,960,5,2,2,994.464,No,Potential Loyalists,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Office Supplies
CM-11935,526,4,565.392,2015-09-24,141.348,646,1,1,1,0,Yes,At Risk,Low Value,Inactive,Low Value - Inactive,Furniture
CM-12115,92,4,800.0400000000001,2015-03-29,200.01000000000002,825,4,1,2,861.57,No,Potential Loyalists,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Technology
CM-12160,196,2,2101.68,2016-10-21,1050.84,253,3,1,3,431.634,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Furniture
CM-12190,600,3,533.152,2015-09-18,177.71733333333333,652,1,1,1,941.992,No,Loyal Customers,Low Value,Inactive,Low Value - Inactive,Furniture
CM-12235,203,8,2305.712,2016-05-01,288.214,426,2,2,4,0,Yes,Needs Attention,Medium Value,Inactive,Medium Value - Inactive,Technology
CM-12385,179,7,8713.652,2015-03-16,1244.8074285714285,838,3,2,5,240.368,No,Loyal Customers,High Value,Moderately Engaged,High Value - Moderately Engaged,Office Supplies
CM-12445,254,9,287.99,2014-06-09,31.99888888888889,1118,2,3,1,0,Yes,At Risk,Low Value,Inactive,Low Value - Inactive,Office Supplies
CM-12655,230,8,4112.7076,2015-03-19,514.08845,835,2,2,5,2226.8500000000004,No,Loyal Customers,High Value,Inactive,High Value - Inactive,Technology
CM-12715,853,13,3984.4524,2014-03-07,306.49633846153847,1212,1,4,5,0,Yes,Needs Attention,High Value,Inactive,High Value - Inactive,Furniture
CP-12085,169,10,5278.326,2014-12-04,527.8326000000001,940,3,3,5,123.928,No,Loyal Customers,High Value,Moderately Engaged,High Value - Moderately Engaged,Office Supplies
CP-12340,68,14,5875.147,2014-03-17,419.65335714285715,1202,4,4,5,13.128,No,Loyal Customers,High Value,Highly Engaged,High Value - Highly Engaged,Furniture
CR-12580,219,4,275.918,2016-04-18,68.9795,439,2,1,1,1872.934,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Furniture
CR-12625,288,4,475.9,2014-06-01,118.975,1126,2,1,1,0,Yes,At Risk,Low Value,Inactive,Low Value - Inactive,Office Supplies
CR-12730,313,5,695.65,2014-08-20,139.13,1046,1,1,2,904.9,No,Needs Attention,Low Value,Inactive,Low Value - Inactive,Office Supplies
CR-12820,134,4,715.9624,2015-01-24,178.9906,889,3,1,2,681.91,No,Needs Attention,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Technology
CS-11845,140,5,1095.364,2014-12-14,219.0728,930,3,1,2,183.59,No,Potential Loyalists,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Furniture
